CDS,length,EarL1,EarL2,EarL3,LateL1,LateL2,LateL3,Male1,Male2,Male3,NPF1,NPF2,NPF3,PreL1,PreL2,PreL3
Dp-2830,921,170,99,119,91,542,89,200,213,160,59,105,208,118,80,111
Dp-28310,225,26,23,14,59,18,30,27,32,53,0,9,35,20,36,27
Dp-28350,711,126,38,59,57,80,91,130,167,129,14,84,92,155,25,77
Dp-28356,1173,64,14,36,29,53,57,79,87,119,30,44,49,76,33,28
Dp-28360,858,31,0,55,8,12,57,40,65,91,5,4,21,19,4,19
Dp-28379,1041,13,0,30,6,38,54,31,34,37,11,38,36,46,7,23
Dp-2839,258,179,89,256,186,275,344,161,195,291,147,199,301,563,97,238
Dp-28390,1980,18,7,21,18,25,40,63,72,53,13,34,42,50,6,14
Dp-28397,1254,7,3,29,11,10,36,27,18,24,8,9,39,45,4,4
Dp-28404,363,14,1,11,9,9,4,44,69,30,1,2,0,2,0,3
Dp-2841,1158,86,6,18,42,43,29,39,16,17,6,22,104,26,12,8
Dp-28418,327,264,52,281,105,313,263,381,177,143,3,297,366,252,59,182
Dp-28424,288,6,0,4,2,12,1,32,32,20,0,0,0,3,1,0
Dp-28444,585,20,1,11,9,6,18,44,53,28,0,2,2,7,0,10
Dp-28483,198,0,0,3,1,2,1,1,1,4,0,2,1,2,0,0
Dp-2849,867,37,22,47,18,28,75,52,28,18,14,32,53,48,14,24
Dp-28515,1326,34,3,28,18,21,13,169,197,93,2,7,0,15,4,1
Dp-28518,492,10,4,4,7,12,13,4,8,3,2,13,4,10,5,4
Dp-2854,450,1465,2031,1798,1896,1969,2372,1297,1168,1752,1111,1687,2334,4457,978,1979
Dp-28557,312,74,10,15,29,67,17,211,196,144,1,7,0,17,11,10
Dp-2857,1953,628,96,3307,559,4785,2806,1771,3441,1473,62,1080,2489,9951,190,837
Dp-2864,1095,10,10,64,16,56,147,62,98,66,95,33,50,132,10,20
Dp-28643,996,12,13,28,18,60,19,13,19,13,5,11,27,30,11,20
Dp-28646,438,16,0,56,8,43,52,72,83,89,14,28,67,86,2,14
Dp-28670,1344,210,81,1676,300,1059,2906,487,882,1431,870,987,1415,4031,73,879
Dp-28678,183,59,46,49,93,63,62,65,104,107,45,106,73,107,38,39
Dp-2869,318,38,27,41,42,52,61,130,58,192,1815,2020,251,175,28,57
Dp-28691,411,10,6,6,10,11,6,51,78,76,1,3,7,29,6,6
Dp-28720,399,49,6,25,10,39,10,137,152,74,1,4,0,11,10,3
Dp-28733,1245,73,4,56,23,84,29,298,433,223,3,8,5,45,10,9
Dp-28745,384,3,0,0,6,5,6,1,2,4,0,0,3,4,2,2
Dp-2876,951,211,73,253,165,295,286,447,495,500,81,336,307,551,115,212
Dp-28765,381,10,2,5,0,6,6,12,35,18,1,5,0,3,0,0
Dp-28790,564,8,0,11,2,8,3,23,66,15,1,1,0,6,0,0
Dp-28794,468,10,0,7,5,10,6,32,56,31,0,0,0,4,0,0
Dp-28801,825,18,9,23,20,30,49,39,30,29,11,21,42,60,6,23
Dp-28822,813,2,0,29,3,75,15,16,18,12,8,24,17,79,0,11
Dp-28825,1116,14,8,16,22,18,28,554,842,687,3,8,87,27,5,15
Dp-28837,1767,20,42,75,153,110,81,101,172,76,36,54,110,250,11,59
Dp-28839,438,36,4,18,14,42,10,137,153,96,3,3,0,24,8,8
Dp-28856,393,0,0,0,1,1,2,184,234,190,0,4,5,3,1,1
Dp-28862,942,7,1,8,1,6,24,12,14,4,1,8,8,14,2,5
Dp-28873,1293,30,17,36,37,45,44,52,66,92,9,74,49,121,10,36
Dp-28889,237,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Dp-28891,291,21,4,6,3,12,4,3,12,28,0,0,0,3,0,0
Dp-28908,1254,139,13,36,11,62,48,59,82,106,5,44,47,19,43,72
Dp-28938,303,0,5,1,38,5,5,0,0,0,0,0,0,0,1,0
Dp-2894,600,20,1,16,4,15,4,63,102,44,1,5,0,3,1,3
Dp-28969,477,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0
Dp-28986,591,15,1,9,3,14,3,60,83,53,1,2,0,4,3,3
Dp-28994,393,3,0,5,2,2,6,2,14,2,2,3,1,6,1,3
Dp-29011,204,0,0,1,7,3,2,0,0,0,1,2,0,0,0,0
Dp-29022,1296,6,0,19,3,15,45,14,31,20,6,20,18,29,2,11
Dp-29027,906,12,0,11,8,14,18,17,27,22,8,29,27,23,3,15
Dp-2903,480,18,55,23,54,30,31,43,53,54,12,30,26,57,20,17
Dp-29051,882,8,1,13,4,7,20,15,14,24,4,30,21,23,5,8
Dp-29055,1188,157,129,128,160,165,196,198,210,203,28,155,190,289,56,94
Dp-291,1362,31,4,101,7,67,135,51,79,131,1,22,91,79,8,39
Dp-29103,639,29,8,10,9,17,21,46,21,25,1,11,24,32,5,25
Dp-2913,2334,45,1,35,3,13,82,56,85,61,2,13,21,19,20,25
Dp-29164,417,1,1,5,2,1,2,25,36,23,0,0,0,1,0,1
Dp-29179,906,14,1,23,6,22,43,26,29,22,3,18,33,35,2,12
Dp-29189,900,48,43,53,52,53,52,89,91,76,23,41,70,130,8,51
Dp-29196,600,7,94,9,37,14,15,24,30,21,13,5,19,37,26,9
Dp-29199,267,10,0,7,1,3,20,5,3,1,4,11,6,2,2,8
Dp-292,561,4,9,4,4,6,0,309,92,456,9411,3053,802,51,159,89
Dp-2920,978,0,5,0,0,1,2,0,0,0,0,1,1,1,3,0
Dp-29201,207,35,47,68,84,78,72,113,165,113,74,77,63,179,25,42
Dp-29212,600,24,3,30,10,29,15,117,133,77,2,4,1,7,4,2
Dp-2922,1173,249,25,256,160,331,405,347,487,450,294,618,443,662,67,190
Dp-29232,165,4,1,7,1,2,11,2,4,7,0,2,8,6,0,5
Dp-29260,621,40,2,38,7,30,25,126,178,93,0,7,0,14,6,2
Dp-29275,1815,10,3,18,13,23,24,26,15,23,71,26,21,40,5,14
Dp-2929,309,3320,1382,4141,2115,3995,4371,3418,1278,857,1917,3430,4626,1861,1116,2495
Dp-29298,288,1,1,1,0,0,0,3,2,2,0,1,0,0,0,0
Dp-2932,1347,450,239,870,556,868,884,950,1319,1284,285,803,686,2069,145,514
Dp-29335,321,3,2,5,4,13,10,11,2,20,0,7,13,7,1,11
Dp-29344,798,4,2,21,14,31,22,16,43,36,2,15,22,29,6,10
Dp-29350,636,14,9,13,13,26,30,46,69,56,1,13,18,28,15,10
Dp-29369,675,18,7,7,10,7,14,40,25,25,3,19,13,17,1,4
Dp-29387,1155,43,10,20,14,30,25,94,88,53,4,18,37,33,11,32
Dp-2941,399,44,2,19,9,62,17,136,169,128,6,9,0,13,10,6
Dp-29416,813,43,7,21,28,83,33,68,97,84,4,25,42,69,9,13
Dp-29442,279,2,1,3,4,0,8,7,17,7,0,2,1,4,0,2
Dp-29451,684,22,6,32,11,25,17,121,160,83,359,14,6,19,10,4
Dp-29452,669,2,4,3,1,2,1,160,193,160,2,2,4,3,0,1
Dp-29456,1362,53,9,43,23,50,19,250,315,189,2,13,4,34,9,6
Dp-29497,858,10,0,7,3,6,19,19,24,18,6,20,14,27,3,3
Dp-29512,426,8,0,13,9,25,22,23,40,23,3,11,14,25,11,8
Dp-29515,177,3,0,1,0,3,0,1,0,2,0,2,1,2,0,2
Dp-2953,636,7,0,19,6,7,9,38,113,28,0,2,0,8,0,0
Dp-29531,636,26,1,16,4,37,12,70,85,54,0,1,0,10,5,5
Dp-29558,717,654,19,221,31,190,68,508,318,797,7,87,261,175,287,77
Dp-29570,1032,51,24,46,27,59,51,73,42,47,25,50,59,54,15,53
Dp-29575,1191,12,4,23,9,26,41,36,30,31,32,119,69,52,11,7
Dp-29576,309,0,10,6,88,17,19,3,0,1,8,4,0,1,2,1
Dp-29584,417,250,208,171,223,243,225,228,227,348,67,168,250,444,169,246
Dp-29586,897,14,4,19,15,26,32,28,35,22,4,10,27,56,2,7
Dp-29597,204,6,3,6,4,10,12,9,0,4,4,5,8,7,1,4
Dp-29605,330,2,0,1,2,3,7,0,0,2,1,5,1,4,0,4
Dp-29611,450,233,61,206,178,268,221,258,308,373,192,340,287,485,96,229
Dp-2964,432,120,7,272,126,330,330,244,449,413,220,271,272,871,36,100
Dp-29645,552,6,2,6,2,4,13,7,9,6,4,12,10,10,2,2
Dp-29649,213,2,0,4,0,4,5,2,1,0,0,1,1,3,0,0
Dp-29675,375,1,1,12,3,2,12,3,7,6,0,5,4,4,1,1
Dp-29676,1215,22,11,20,14,19,30,105,162,120,3,25,35,55,11,18
Dp-29680,291,12,0,6,2,11,4,27,31,28,0,0,0,1,1,1
Dp-29715,231,12,22,15,24,22,10,23,2,5,3,22,10,6,11,4
Dp-2975,1083,2205,740,3484,2320,2812,3325,3419,5068,3847,705,2950,3612,8099,729,1867
Dp-2977,327,88,34,57,54,85,84,57,73,88,25,103,118,90,33,56
Dp-29778,219,12,1,3,3,5,1,21,34,20,0,0,0,2,1,0
Dp-29828,753,38,6,31,21,14,31,24,35,29,3,11,37,36,6,41
Dp-29836,249,1,0,7,0,3,6,9,14,3,0,0,0,0,0,0
Dp-29854,858,45,45,61,96,64,79,143,143,104,172,60,79,186,18,34
Dp-29870,534,5,0,4,1,3,3,7,7,5,3,6,12,4,2,1
Dp-2988,333,28,18,13,18,37,51,43,50,59,20,39,21,50,13,9
Dp-29895,156,4,3,26,9,39,49,12,25,17,4,7,8,45,0,2
Dp-29902,531,6,0,12,2,8,3,22,25,8,0,0,0,3,1,1
Dp-29920,1734,20,12,34,35,74,32,35,42,67,35,62,132,168,12,27
Dp-29948,393,0,123,0,35,6,5,1,0,6,18,0,0,6,48,5
Dp-29954,660,12,9,11,4,10,8,13,20,16,11,20,16,25,3,9
Dp-29969,246,8,6,9,10,9,2,68,52,21,1,0,0,3,3,0
Dp-2997,753,62,2,26,21,50,55,90,108,56,21,35,46,50,11,29
Dp-2998,3546,558,146,580,350,650,788,803,1024,847,237,625,812,1242,152,370
Dp-2999,2898,358,78,353,201,349,343,448,597,562,134,269,384,688,111,232
Dp-3001,1203,219,90,125,160,213,144,296,266,280,93,343,225,234,55,129
Dp-3002,951,18,3,27,7,22,14,82,108,50,2,6,0,12,3,2
Dp-30026,762,9,3,14,10,19,43,28,41,37,8,10,29,35,3,12
Dp-30072,315,72,10,23,15,65,15,184,196,137,2,3,0,21,9,6
Dp-30091,1347,20,5,25,12,32,20,147,183,142,9,32,31,47,2,23
Dp-30092,900,16,3,10,6,14,23,33,33,33,5,23,18,37,2,5
Dp-30095,372,1,131,3,31,2,5,22,14,14,44,5,3,12,49,3
Dp-30098,438,6,1,13,12,18,28,15,32,24,6,9,15,37,0,4
Dp-30103,726,18,2,3,6,8,15,40,82,39,1,0,0,8,2,2
Dp-30112,861,14,9,23,12,21,48,24,12,35,5,15,35,41,10,39
Dp-30147,1212,105,7,75,45,132,61,312,612,276,5,17,2,54,7,8
Dp-30158,318,18,21,24,12,39,39,48,23,7,28,46,55,35,10,25
Dp-30167,924,7,0,31,15,32,85,40,63,18,8,22,73,284,3,26
Dp-30198,444,56,10,56,31,53,13,186,247,139,2,12,0,34,3,14
Dp-30201,651,8,1,17,3,7,19,17,20,13,7,18,19,11,2,5
Dp-30227,852,32,2,17,14,39,11,98,161,89,3,3,1,10,1,5
Dp-30230,348,5460,5137,3497,5579,5324,5568,5009,4768,6223,1596,4920,4900,9140,2572,5642
Dp-30231,1035,25,3,49,9,22,59,33,42,66,7,35,43,53,3,19
Dp-30246,285,3,11,12,9,5,2,6,7,4,3,1,7,12,1,3
Dp-30261,1080,30,0,21,5,21,11,103,129,74,1,5,0,17,2,2
Dp-3027,2673,1277,318,11953,2224,6013,15637,5980,9871,13015,7425,7394,12919,29503,307,3482
Dp-3032,972,219,17,135,82,217,164,279,277,215,56,168,245,253,39,99
Dp-30325,756,12,4,13,12,15,9,21,43,17,3,10,24,24,1,5
Dp-3033,678,158,67,161,120,226,174,182,258,252,63,100,205,313,57,100
Dp-30346,957,29,1,44,10,30,17,143,171,99,0,5,2,19,3,4
Dp-3035,567,20,2,12,12,31,11,61,88,49,1,2,0,6,4,2
Dp-30351,678,12,0,6,2,20,3,48,64,39,2,1,1,4,1,0
Dp-3037,1140,35,4,21,23,40,35,49,22,12,17,47,38,75,20,53
Dp-30403,306,342,519,239,340,303,326,548,424,399,119,320,334,583,162,302
Dp-30421,1134,5,4,38,6,20,41,13,28,32,13,32,29,32,0,7
Dp-30428,1086,7,15,23,16,20,22,31,26,22,2,19,29,56,4,13
Dp-3043,672,356,98,540,362,561,586,673,1027,992,124,371,513,1270,82,314
Dp-30431,843,7,0,9,14,24,18,12,11,22,10,10,22,36,3,3
Dp-30441,294,2,1,6,0,1,1,17,10,8,1,0,0,1,1,0
Dp-3046,1581,425,129,440,259,604,363,615,1006,900,179,527,506,816,198,356
Dp-30495,579,28,3,17,12,34,11,137,173,124,0,0,2,14,1,1
Dp-30519,162,12,0,7,2,7,7,5,12,8,1,3,5,10,0,3
Dp-30527,372,5,2,1,2,1,7,4,3,21,3,3,3,4,3,1
Dp-3055,318,794,269,1043,352,1022,1144,798,831,572,292,824,1414,985,167,625
Dp-3057,4761,1074,230,966,441,1468,1685,1075,1392,897,247,996,1141,2133,191,711
Dp-3059,2862,280,396,583,460,405,456,887,878,584,205,255,591,873,159,175
Dp-306,849,6510,1625,13944,5825,11920,13235,8490,14935,13289,6686,9732,14521,28118,1794,9622
Dp-30619,264,28,30,52,26,88,63,173,242,179,4,50,90,63,14,23
Dp-30631,357,1,2,3,2,3,6,3,0,3,3,10,5,3,2,8
Dp-30657,162,98,32,81,52,93,86,62,90,56,28,70,123,77,33,34
Dp-30659,936,1,3,5,7,11,6,18,13,14,6,11,15,13,1,5
Dp-30668,1248,72,5,49,19,92,28,307,397,243,4,11,3,41,10,7
Dp-3074,513,6385,3935,14902,6942,10275,14598,10171,13463,20279,10256,16926,17739,33972,5144,12792
Dp-30742,645,72,4,30,22,70,22,212,331,146,1,7,2,24,6,1
Dp-30743,216,0,0,1,0,2,1,1,0,2,0,2,6,0,0,0
Dp-30750,630,37,26,38,10,30,13,161,157,110,3,8,1,12,5,11
Dp-30756,1326,51,14,26,21,40,43,75,83,68,6,31,62,73,13,25
Dp-30759,318,12,2,7,5,3,2,35,33,21,0,0,0,2,2,2
Dp-30783,183,4,1,2,1,4,3,1,2,2,0,2,12,7,0,0
Dp-30800,438,0,148,0,51,16,6,3,2,11,15,2,0,10,42,24
Dp-3081,162,41,4,15,8,27,5,65,75,56,0,2,1,9,5,3
Dp-30813,873,17,3,7,8,14,12,27,21,28,4,16,14,30,1,11
Dp-30839,777,1,0,33,1,13,29,18,16,22,2,13,10,24,0,1
Dp-3085,735,31,0,84,1139,23,26,170,66,87,49,2118,21977,2,475,15
Dp-30878,285,8,2,3,5,9,2,45,55,23,0,2,1,6,1,1
Dp-30921,444,4,0,7,7,5,9,11,17,6,3,8,2,37,1,1
Dp-30932,435,136,77,67,107,92,97,100,101,181,36,121,126,161,55,74
Dp-30940,273,1,2,11,1,17,15,8,16,9,6,15,15,14,1,3
Dp-30959,216,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1
Dp-30964,165,0,0,1,0,0,2,3,0,1,1,3,3,0,0,1
Dp-30995,336,16,1,5,7,9,4,26,53,24,0,1,1,3,3,0
Dp-30996,753,334,58,106,127,245,264,138,178,209,12,103,122,139,41,137
Dp-3102,516,4587,172,453,117,1324,953,297,1579,2335,3,200,109,168,1169,3007
Dp-31044,330,301,143,184,217,322,286,249,233,223,84,268,327,446,104,195
Dp-31058,1836,60,16,108,21,93,38,405,622,263,6,9,2,50,10,9
Dp-31083,219,1429,4297,1552,1860,3000,3751,293,621,1713,5,929,1999,2815,384,4981
Dp-31138,630,36,7,14,13,39,15,123,157,87,3,3,0,13,5,5
Dp-31143,303,22,4,7,6,23,7,41,61,35,1,0,0,4,2,2
Dp-31145,477,16,5,7,4,21,23,13,15,20,13,27,25,22,9,18
Dp-31153,1083,9,3,15,9,15,13,20,22,14,13,24,22,51,4,6
Dp-31154,891,56,7,20,23,21,31,85,78,68,2,16,30,31,12,23
Dp-3116,2364,7939,5406,36073,15893,33271,45622,16699,27729,27483,12395,18431,30144,89524,2337,15592
Dp-31165,204,6,0,5,1,3,1,7,16,8,0,1,0,3,0,0
Dp-31166,873,10,5,13,8,12,21,7,6,9,13,45,22,17,3,19
Dp-31171,810,5,7,14,7,12,19,18,15,13,15,9,23,19,1,5
Dp-31188,312,0,2,0,0,1,0,163,244,190,0,0,0,0,0,0
Dp-3119,657,10,0,5,1,14,10,35,40,26,0,0,0,9,0,1
Dp-31204,1734,41,5,25,21,47,62,115,216,138,16,50,48,69,9,7
Dp-31219,351,0,26,3,73,11,22,1,1,1,3,4,0,0,7,2
Dp-31243,234,303,176,265,254,362,339,175,263,352,74,269,398,673,133,347
Dp-3129,1335,57,11,92,12,60,197,92,196,243,44,82,95,165,33,46
Dp-31292,264,0,18,0,0,0,0,0,0,0,0,0,0,0,13,0
Dp-3131,1617,2077,219,1083,761,1100,2170,1826,1448,1092,169,763,1250,1722,345,1011
Dp-31334,207,15,1,3,9,6,5,29,33,20,0,0,0,5,1,3
Dp-31347,180,8,1,2,1,8,2,16,27,11,0,1,0,2,1,1
Dp-31353,228,0,23,1,1,0,1,1,0,3,1,0,0,2,4,3
Dp-31355,480,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0
Dp-31359,990,5,2,11,5,14,18,23,36,43,14,17,25,27,3,8
Dp-3136,1599,53,26,51,40,59,44,65,88,75,34,44,76,105,20,40
Dp-31360,237,2774,3716,3005,3055,3258,4174,1303,1899,3639,1395,3315,4728,8315,2426,4476
Dp-31385,966,56,3,25,25,41,17,206,227,117,1,6,1,25,7,7
Dp-31387,423,36,0,3,30,20,16,0,2,0,23,21,4,4,0,2
Dp-31389,762,36,8,18,15,26,12,120,181,69,5,2,4,20,1,9
Dp-31406,393,7,1,10,4,15,21,14,20,17,3,15,19,23,3,4
Dp-31417,2208,91,7,102,28,74,51,447,599,286,6,18,1,64,7,16
Dp-3144,357,99,327,431,7,9,26,8154,7,10613,12386,36076,15811,1821,10414,4357
Dp-31460,753,3,1,12,3,14,21,12,18,26,1,15,10,27,2,1
Dp-3147,618,29,10,25,7,25,8,127,121,66,5,5,1,17,9,9
Dp-31477,576,729,221,915,477,779,995,1000,515,216,313,479,959,1150,222,523
Dp-31489,807,60,3,20,12,57,6,98,170,56,1,4,2,14,8,8
Dp-31495,336,15,2,7,3,9,2,29,53,15,0,2,0,3,4,0
Dp-315,318,6,5,15,6,16,15,10,10,11,7,17,12,20,8,9
Dp-31540,342,4,0,7,1,9,12,5,10,13,7,9,12,18,1,3
Dp-3163,330,33,15,44,34,57,48,53,29,21,72,66,82,49,19,24
Dp-31676,231,5,0,0,5,4,4,0,15,12,0,0,0,2,0,0
Dp-31677,153,3387,1354,3876,1636,18459,2509,3807,779,465,698,1472,3675,1032,1711,5397
Dp-31687,618,7,0,21,6,13,18,23,32,37,1,18,21,36,1,10
Dp-31699,822,14,3,11,6,12,19,12,17,16,4,14,8,15,5,13
Dp-317,495,0,4,0,4,1,1,9,4,16,2570,367,63,2,5,1
Dp-31703,1008,31,6,13,10,27,8,100,105,51,2,4,0,7,2,1
Dp-31717,474,247,130,150,175,178,168,432,480,377,36,65,110,385,56,145
Dp-31742,288,0,0,11,1,4,3,2,9,10,2,0,4,20,0,2
Dp-31743,291,4,0,3,1,6,5,1,2,3,0,2,1,2,1,2
Dp-31751,231,0,3,0,0,0,0,0,0,0,39,0,0,0,0,0
Dp-31801,183,2,0,2,4,6,0,1,3,3,4,2,3,5,2,0
Dp-31844,324,785,712,643,498,390,499,6798,6300,2351,303,1065,1755,1976,261,1045
Dp-31848,1524,37,4,27,15,24,41,62,84,76,10,42,46,44,3,21
Dp-31878,225,4,0,2,0,4,7,3,1,4,1,2,1,3,0,1
Dp-31884,606,52,4,9,9,22,30,1,0,4,10,3,27,23,7,9
Dp-319,414,395,83,752,306,553,838,812,1136,1080,190,580,801,1522,126,433
Dp-31903,402,0,155,0,1,0,0,0,0,3,10,0,0,1,40,1
Dp-31910,1035,14,4,7,5,16,9,36,24,30,2,11,18,17,3,15
Dp-31913,549,27,2,10,3,14,8,82,15,9,2,8,28,4,19,17
Dp-31919,444,8,4,8,6,20,17,12,16,15,4,13,12,15,0,4
Dp-31928,375,2,1,3,4,5,12,11,7,7,2,5,8,9,1,12
Dp-31944,432,15,0,4,3,15,6,33,52,21,0,0,0,6,1,0
Dp-31945,378,60,14,42,22,47,49,50,33,55,6,52,50,82,14,46
Dp-31956,1440,17,4,42,14,36,49,35,57,54,8,39,50,67,7,12
Dp-3197,1233,40,7,14,12,44,13,130,186,78,4,7,0,18,5,1
Dp-31985,567,39,4,22,15,20,43,53,51,50,12,37,22,32,5,20
Dp-31991,357,65,26,88,82,84,79,130,42,32,28,58,81,81,41,60
Dp-31999,240,48,0,34,9,34,18,138,189,95,0,9,2,14,2,2
Dp-32003,816,9,1,5,3,10,13,18,21,8,4,8,16,8,4,4
Dp-32030,792,3,0,9,5,7,17,14,20,34,3,2,7,24,2,4
Dp-3204,2778,235,20,540,133,394,697,426,804,667,307,431,524,1043,51,241
Dp-32043,270,305,258,160,235,250,324,118,225,248,118,230,243,437,109,284
Dp-3205,528,1181,992,1575,1624,1712,1094,1006,822,1208,516,1064,1392,2328,498,1185
Dp-32051,393,426,498,494,669,591,551,405,463,518,174,421,459,1031,216,396
Dp-3206,513,10,5,17,18,13,17,3,8,5,2,6,7,20,3,10
Dp-32079,489,21,2,32,12,17,8,112,133,52,2,1,0,13,3,5
Dp-321,1827,205,45,162,50,130,261,328,388,325,31,135,190,401,57,178
Dp-32118,639,10,4,19,5,20,23,35,49,42,10,19,26,35,4,17
Dp-3212,1005,28,9,53,21,48,64,66,100,60,11,47,63,127,14,36
Dp-32132,162,1,2,4,2,2,6,2,1,6,1,5,3,5,0,1
Dp-3217,1491,31,9,26,27,27,30,46,47,46,5,54,65,38,12,36
Dp-32175,570,23,0,22,4,12,5,18,24,21,0,13,10,8,6,9
Dp-3224,1032,509,88,1053,398,766,1015,1367,1641,1647,272,947,1113,1908,143,569
Dp-32263,615,42,3,37,17,51,16,182,238,122,4,5,0,20,1,0
Dp-32287,207,5,15,6,12,11,5,3,0,11,68,97,59,19,8,11
Dp-32297,483,14,2,10,14,14,11,25,22,15,4,15,16,21,9,16
Dp-3232,861,25,3,36,10,30,15,100,88,69,3,36,23,31,5,10
Dp-32330,540,26,0,3,1,9,5,37,52,12,1,2,0,2,1,0
Dp-3236,1047,8,311,7,173,15,15,27,23,26,98,9,8,39,100,6
Dp-32363,924,6,3,36,5,18,42,19,33,33,9,23,20,28,0,12
Dp-32373,318,18,2,5,10,13,2,41,64,53,0,1,0,3,0,2
Dp-32381,519,32,13,13,19,10,15,38,36,41,4,13,20,29,3,16
Dp-324,858,3120,1126,2178,1716,2937,2636,2468,2814,3464,1098,2528,2909,4575,1494,3035
Dp-32401,555,261,130,204,228,253,286,250,236,239,31,226,285,356,78,211
Dp-3241,1659,242,90,278,285,299,331,306,362,366,206,271,382,594,47,160
Dp-3243,570,108,427,45,217,50,48,151,106,106,87,38,51,138,132,82
Dp-32437,261,10,0,1,3,3,1,8,3,7,0,0,0,4,0,1
Dp-3246,966,2231,328,1003,769,1481,1348,1712,1986,1830,262,1443,1385,1862,596,1182
Dp-3252,321,2,2,5,4,6,7,10,9,18,2,3,5,5,2,6
Dp-3255,351,36,7,45,19,40,43,49,54,64,23,55,58,74,7,35
Dp-3264,816,4,0,9,3,26,65,20,30,33,10,18,44,50,1,16
Dp-3266,1716,3186,1094,7238,3122,5946,9060,5158,7275,8916,3145,5313,6584,15770,1359,5411
Dp-32666,747,25,2,14,3,29,12,47,90,53,0,5,0,12,0,0
Dp-32679,162,1,3,0,0,0,2,0,0,0,0,2,3,0,0,0
Dp-3268,273,1270,278,644,524,1077,877,1025,1356,1615,118,470,718,1128,535,1233
Dp-32683,198,437,282,744,619,698,805,1525,1156,1053,362,653,1095,1738,244,443
Dp-32688,456,10,0,3,5,15,4,32,38,23,0,1,0,2,1,0
Dp-32728,198,6,0,3,1,3,1,5,1,0,1,3,2,1,0,5
Dp-32731,579,15,1,13,10,23,6,79,93,39,0,0,0,6,0,0
Dp-32732,873,24,29,93,27,73,96,42,23,25,51,47,72,25,21,28
Dp-32736,516,7,1,5,6,8,2,22,29,25,0,2,0,4,2,1
Dp-32739,714,604,441,921,828,1062,1056,939,1110,1114,291,724,915,1796,255,726
Dp-32744,510,6,0,17,0,27,36,36,53,15,11,17,35,43,2,18
Dp-3276,906,141,42,71,64,122,141,156,137,208,15,110,176,208,73,127
Dp-3277,1539,237,101,230,172,272,304,353,314,340,116,311,312,511,80,197
Dp-32780,603,30,12,27,11,33,8,171,150,87,4,2,1,7,8,3
Dp-3280,441,33,43,65,37,60,57,72,66,71,11,37,55,89,13,25
Dp-32811,174,607,926,760,832,727,813,686,638,774,239,690,832,1761,487,813
Dp-3282,1920,483,63,455,161,556,449,540,515,461,68,390,455,476,117,294
Dp-32834,768,12,2,36,8,34,34,34,44,30,8,23,23,54,3,11
Dp-32843,375,1,0,6,1,2,9,5,17,12,0,4,8,7,0,0
Dp-3285,600,18,6,18,19,22,8,113,89,67,2,5,0,6,2,3
Dp-3287,2049,3067,625,2119,1364,2750,2090,2665,3938,3366,396,1696,1620,1834,834,1728
Dp-32889,384,12,46,46,54,45,19,37,38,61,6,12,53,72,8,13
Dp-32902,915,29,33,28,19,23,35,32,37,38,14,31,38,74,11,34
Dp-32924,852,27,22,29,27,45,21,38,32,23,5,20,39,64,9,20
Dp-32928,231,2,0,1,0,1,1,5,9,3,0,1,0,0,3,1
Dp-3294,651,79,63,52,83,126,96,105,134,103,29,86,108,123,28,58
Dp-32958,1005,40,6,32,11,22,70,92,88,51,6,32,26,25,19,34
Dp-32974,966,297,33,122,47,187,207,342,327,408,18,117,180,195,113,184
Dp-33019,492,46,4,80,38,84,103,97,155,165,25,80,99,159,13,57
Dp-3305,522,35,8,30,20,38,24,42,10,22,11,34,33,20,7,10
Dp-33067,543,6,1,8,4,11,17,19,32,22,2,11,16,30,3,13
Dp-3308,834,43,4,36,7,78,67,47,72,80,14,29,53,60,3,26
Dp-33135,192,640,352,953,696,869,994,1585,1563,1425,374,799,1417,2297,303,587
Dp-33149,261,5,0,13,2,7,20,5,5,10,6,6,11,17,0,1
Dp-33195,177,281,201,525,467,458,535,1030,807,690,268,444,774,1259,178,319
Dp-332,738,1352,551,1093,922,1092,1453,1078,1548,2350,88,645,909,2058,572,1279
Dp-3323,507,6098,4745,4904,5186,6502,7034,5166,5981,6473,1968,5680,6068,10207,1990,5386
Dp-33240,882,17,2,18,7,19,8,78,127,52,1,2,1,10,3,0
Dp-33257,402,2,0,6,0,6,8,2,2,4,0,5,6,6,1,5
Dp-3326,534,534,144,749,421,628,875,911,1168,1028,193,737,854,1300,203,451
Dp-33308,336,6,3,5,2,2,14,0,9,10,1,4,6,9,2,1
Dp-3335,300,5303,9488,5080,6296,5465,6011,3550,3284,6222,3166,4692,7295,13895,4417,8052
Dp-33350,321,0,0,1,3,1,11,2,8,6,0,2,9,23,0,8
Dp-33355,168,629,227,921,446,1064,1110,804,987,909,379,795,1104,1242,193,600
Dp-33377,1587,0,4,8,4,7,15,14,15,19,110,123,32,24,2,7
Dp-3339,249,0,5,3,22,7,6,0,0,0,3,2,0,0,2,0
Dp-3341,7104,3014,58,1426,112,1673,2361,1777,3893,4082,201,689,1712,1295,599,1803
Dp-3342,6084,505,95,2212,562,2147,3095,1593,2851,3644,1956,1524,1883,5362,139,925
Dp-33422,621,25,16,18,49,28,29,41,21,33,11,81,58,50,11,27
